Region,SizeRank,RegionName,State,County,City,ZMediumRent,ZMediumValue,NMediumValue,entityid,Income Limits,Efficiency,OneBedroom,TwoBedroom,ThreeBedroom,FourBedroom,Zillow Ratio,NAR Ratio,ZH Ratio,NH Ratio
6181,0,New York,NY,Queens County,New York,4003.574224002959,797519.1835231847,699200.0,3603999999,50150.0,1013.0,1064.0,1254.0,1720.0,1875.0,0.00502003501196855,0.0057259356750614405,0.0023510406254014476,0.0026816361556064074
12447,1,Los Angeles,CA,Los Angeles County,Los Angeles,2879.5906385875,951368.408857648,783300.0,0603799999,75750.0,1856.0,2081.0,2625.0,3335.0,3698.0,0.0030267881630052836,0.0036762295909453595,0.003887032579146032,0.004721051959657858
39051,2,Houston,TX,Harris County,Houston,1634.3671658640396,267347.90956956125,255000.0,4800999999,44450.0,823.0,896.0,1102.0,1506.0,1709.0,0.006113259566889539,0.006409283003388391,0.006392419535845802,0.006701960784313726
17426,3,Chicago,IL,Cook County,Chicago,2331.2377112784384,315894.0565036813,305200.0,1700799999,43300.0,810.0,900.0,1181.0,1561.0,1603.0,0.007379808715240172,0.007638393549405106,0.005074486103797016,0.005252293577981651
6915,4,San Antonio,TX,Bexar County,San Antonio,1472.878375358706,254106.5297561249,244100.0,4801999999,48300.0,1116.0,1231.0,1501.0,1907.0,2243.0,0.0057963027426815045,0.006033913868737018,0.00882700653994483,0.009188857025809094
13271,5,Philadelphia,PA,Philadelphia County,Philadelphia,1812.6364534765023,234717.79893626983,232400.0,4210199999,59700.0,1372.0,1512.0,1802.0,2171.0,2468.0,0.0077226203623725455,0.007799640505492695,0.010514754361130096,0.01061962134251291
40326,6,Phoenix,AZ,Maricopa County,Phoenix,1688.9421032333366,411915.8707870217,414700.0,0401399999,56100.0,1530.0,1679.0,1950.0,2624.0,2934.0,0.004100211288305987,0.0040726841167912625,0.007122813681333014,0.007074993971545695
18959,7,Las Vegas,NV,Clark County,Las Vegas,1784.897440046171,434234.3398750331,400800.0,3200399999,51000.0,1316.0,1476.0,1750.0,2452.0,2841.0,0.004110447461524671,0.004453336926262902,0.00654255027554385,0.007088323353293413
54296,8,San Diego,CA,San Diego County,San Diego,3146.8107764066312,998184.3343469348,791600.0,0606999999,66800.0,1799.0,1999.0,2623.0,3655.0,4046.0,0.0031525347254276856,0.0039752536336617374,0.004053359545706663,0.005111167256189995
38128,9,Dallas,TX,Dallas County,Dallas,1723.2752715597735,311284.8770069368,277900.0,4805999999,43650.0,944.0,950.0,1207.0,1571.0,1899.0,0.005536007043224819,0.006201062510110736,0.0061005212275625,0.006833393306944944
10221,10,Austin,TX,Travis County,Austin,1684.6941876368298,512936.96099387406,487600.0,4804199999,44250.0,1034.0,1089.0,1206.0,1690.0,1863.0,0.0032844078624643114,0.003455074215826148,0.003632025261720708,0.003820754716981132
33839,11,San Jose,CA,Santa Clara County,San Jose,3386.64713247424,1414393.166649643,1382800.0,0608399999,88250.0,2381.0,2688.0,3028.0,4011.0,4468.0,0.0023944170633236244,0.0024491228901317905,0.0031589519133379414,0.0032311252531096327
25290,12,Jacksonville,FL,Duval County,Jacksonville,1640.94812947865,288418.39754910785,274900.0,1203199999,51250.0,1381.0,1454.0,1730.0,2163.0,2739.0,0.005689471071966733,0.005969254745284285,0.0094966202685931,0.009963623135685704
24043,13,Charlotte,NC,Mecklenburg County,Charlotte,1808.0216895801825,401566.4322855804,371200.0,3711999999,56100.0,1586.0,1647.0,1824.0,2250.0,2852.0,0.004502422374523523,0.004870748086153509,0.007102187261438612,0.007683189655172414
32149,14,Indianapolis,IN,Marion County,Indianapolis,1457.5225514572276,233759.423046193,207000.0,1801399999,55350.0,955.0,1097.0,1283.0,1669.0,2028.0,0.006235139240436984,0.007041171746170182,0.008675586094337889,0.009797101449275362
18172,15,Fort Worth,TX,Tarrant County,Fort Worth,1721.1858361242696,301480.77445273736,294100.0,4800799999,39700.0,969.0,976.0,1280.0,1670.0,1914.0,0.005709106457115384,0.005852382985801665,0.006348663537415897,0.006507990479428766
13121,16,Orlando,FL,Orange County,Orlando,1995.1269511352848,378875.1965139836,358300.0,1208799999,65150.0,1565.0,1903.0,2274.0,3026.0,3344.0,0.005265921257164292,0.005568314125412461,0.008826125412188546,0.009332961205693553
20330,17,San Francisco,CA,San Francisco County,San Francisco,3698.639215963152,1270647.8698312803,1380500.0,0606999999,66800.0,1799.0,1999.0,2623.0,3655.0,4046.0,0.002910829431016373,0.0026792026193141268,0.0031842024026194115,0.0029308221658819267
7481,18,Tucson,AZ,Pima County,Tucson,1541.6660816043966,330455.342165381,286900.0,0400799999,38200.0,966.0,1078.0,1409.0,1925.0,2004.0,0.004665278132598166,0.0053735311314199955,0.006064359519408436,0.006985012199372604
10920,19,Columbus,OH,Franklin County,Columbus,1502.3362791620057,253753.93808073617,265700.0,3904999999,54500.0,1104.0,1194.0,1445.0,1741.0,1939.0,0.005920445178210443,0.0056542577311328775,0.007641260721569862,0.00729770417764396
12700,20,Miami,FL,Miami-Dade County,Miami,3095.457067146331,581221.5130316013,425400.0,1208699999,61950.0,1711.0,1898.0,2329.0,3008.0,3527.0,0.005325778550419949,0.007276579847546618,0.006068254393412714,0.008291020216267042
12455,21,Louisville,KY,Jefferson County,Louisville,1379.6140493854916,254964.8602295869,237200.0,2100599999,46400.0,718.0,901.0,998.0,1372.0,1375.0,0.0054109968257711975,0.005816248100276103,0.005392900020661125,0.005796795952782462
17933,22,El Paso,TX,El Paso County,El Paso,1648.4497373737377,230694.11283111488,167300.0,4811999999,43300.0,732.0,786.0,933.0,1274.0,1284.0,0.007145608169812832,0.009853256051247684,0.005565811733305837,0.00767483562462642
11093,23,Denver,CO,Denver County,Denver,1973.8949887999493,546248.9300462925,586700.0,0803199999,70050.0,1639.0,1789.0,2140.0,2794.0,3127.0,0.003613544814875279,0.0033644025716719774,0.005724496338574062,0.005329810806204193
16037,24,Seattle,WA,King County,Seattle,2310.0782603711964,863431.9055885499,811200.0,5302199999,52800.0,1101.0,1236.0,1503.0,2003.0,2318.0,0.0026754608503800357,0.002847729610911238,0.0026846355630325684,0.0028574950690335305
13373,25,Portland,OR,Multnomah County,Portland,1798.209032491307,536764.5421700869,528000.0,4105199999,62050.0,1628.0,1750.0,1997.0,2739.0,3217.0,0.003350089082302871,0.00340569892517293,0.005993316896443982,0.00609280303030303
6118,26,Nashville,TN,Davidson County,Nashville,1883.785278443943,443609.2543267388,386600.0,4700199999,49700.0,1256.0,1264.0,1548.0,1989.0,2335.0,0.004246496798861747,0.00487269859918247,0.0052636413177263525,0.0060398344542162445
41568,27,Washington,DC,District of Columbia,Washington,2588.967291639098,593957.1602338849,,1100199999,81950.0,2012.0,2056.0,2314.0,2893.0,3413.0,0.004358845157485146,,0.005746205666846493,
20288,28,Sacramento,CA,Sacramento County,Sacramento,2157.1211945130203,483501.7640089232,498900.0,0606799999,64300.0,1679.0,1777.0,2206.0,2992.0,3455.0,0.004461454652465777,0.0043237546492544,0.00714578571824246,0.006925235518139908
44269,29,Boston,MA,Suffolk County,Boston,3338.587774496604,779776.8036353501,680700.0,2502102935,65700.0,1607.0,1652.0,2155.0,2730.0,2953.0,0.004281465874506624,0.004904639010572358,0.003786981077448057,0.004338181283972381
17762,30,Detroit,MI,Wayne County,Detroit,1347.2787994546277,80675.99161511655,170200.0,2601799999,41850.0,764.0,769.0,976.0,1305.0,1406.0,0.016699872818200144,0.00791585663604364,0.01742773744520734,0.00826086956521739
26529,31,Pittsburgh,PA,Allegheny County,Pittsburgh,1578.0108959195557,243354.84534428956,216700.0,4200399999,53650.0,998.0,1068.0,1280.0,1632.0,1759.0,0.0064844030275503384,0.007282006903182075,0.007228128116830512,0.008117212736502077
23429,32,Albuquerque,NM,Bernalillo County,Albuquerque,1589.99360349085,342911.47362162574,268500.0,3500199999,45700.0,913.0,1084.0,1331.0,1865.0,2209.0,0.004636746582720868,0.005921763886371881,0.006441895853381236,0.008227188081936685
32811,33,Memphis,TN,Shelby County,Memphis,1338.1979306111186,145002.3954160567,229700.0,4704199999,37450.0,710.0,714.0,937.0,1129.0,1573.0,0.009228798784816037,0.005825850808058854,0.010848096650311029,0.006848062690465825
18203,34,Fresno,CA,Fresno County,Fresno,2020.9431677786013,389954.0091185837,362600.0,0601999999,46950.0,1210.0,1217.0,1505.0,2109.0,2415.0,0.0051825167084358385,0.0055734781240446805,0.00619303800840167,0.00666023166023166
3523,35,Baltimore,MD,Baltimore City,Baltimore,1790.8684322821016,189391.19680029748,,2451099999,65150.0,1407.0,1604.0,1965.0,2529.0,2826.0,0.00945592225266137,,0.014921496076609413,
40152,36,Omaha,NE,Douglas County,Omaha,1443.417208849438,293272.4410749906,245800.0,3100199999,46200.0,662.0,756.0,907.0,1192.0,1203.0,0.004921762179762238,0.005872323876523345,0.0041019878839975606,0.004894222945484134
37211,37,Atlanta,GA,Fulton County,Atlanta,1936.70705527832,396813.2790049274,431200.0,1304999999,38100.0,717.0,721.0,905.0,1107.0,1300.0,0.00488065081928438,0.004491435656953432,0.0032761000419642143,0.0030148423005565863
5976,38,Milwaukee,WI,Milwaukee County,Milwaukee,1416.0265540555447,222274.71547760963,216500.0,5506199999,53500.0,841.0,918.0,1147.0,1521.0,1554.0,0.006370614628896849,0.006540538355914756,0.006991348506108149,0.007177829099307159
33225,39,Oklahoma City,OK,Oklahoma County,Oklahoma City,1296.162034386084,205970.28225358145,207800.0,4010999999,48850.0,886.0,961.0,1180.0,1575.0,1719.0,0.0062929565382170375,0.006237545882512435,0.008345864176093344,0.00827237728585178
54047,40,Raleigh,NC,Wake County,Raleigh,1688.715094922841,443819.65263136855,422800.0,3700999999,38200.0,713.0,717.0,930.0,1228.0,1233.0,0.0038049579033073333,0.003994122741066322,0.002778155479798267,0.0029162724692526018
19331,41,Mesa,AZ,Maricopa County,Mesa,1674.873834422658,436599.8766880979,414700.0,0401399999,56100.0,1530.0,1679.0,1950.0,2624.0,2934.0,0.0038361756927823626,0.004038760150524857,0.006720111838455734,0.007074993971545695
4172,42,Colorado Springs,CO,El Paso County,Colorado Springs,1856.2768510850397,455746.5255309685,431000.0,0802999999,51000.0,810.0,816.0,1039.0,1421.0,1745.0,0.004073046632494631,0.004306906847065057,0.003828882728106339,0.004048723897911833
17222,43,Buffalo,NY,Erie County,Buffalo,1404.586078355929,245049.3051409641,217400.0,3602599999,44250.0,808.0,812.0,935.0,1310.0,1314.0,0.005731850892406912,0.006460837526936196,0.005362186190424512,0.006044158233670653
18795,44,Kansas City,MO,Jackson County,Kansas City,1447.0257022237663,251607.1044836141,213300.0,2900599999,38550.0,615.0,628.0,824.0,993.0,1190.0,0.00575113212798013,0.006783992978076729,0.00472959617909954,0.005578996718237224
832063,45,Rochester,NY,Monroe County,Rochester,1452.2986898625431,239538.1680068157,197100.0,3600799999,47250.0,869.0,939.0,1188.0,1533.0,1752.0,0.006062911401331333,0.007368334296613613,0.007314074473301264,0.008888888888888889
